accountNumber,lastName,firstName,Age,Gender,customerMDN,Address,customerCity,customerState,customerZip,customerPlan,customerPlanDesc,customer,JSESSIONID
900000459,GILMORE,ADDIE,18,F,6857154761,8086 Jens Jensen Blvd.,APPLETON,WI,54912,5503L60,550 Minute Family,SD3SL1FF700460,
900000460,CURTIS,WILLIS,52,M,2354126324,14531 Huntting Blvd.,VIRGINIA BEACH,VA,23456,5503L60,550 Minute Family,SD3SL1FF700461,
900000461,JACOBSON,DEWAYNE,22,M,6013884292,2462 N Iverson St.,GREEN BAY,WI,54302,700POST5L70,700 Minute Family,SD3SL1FF700462,
900000462,COOPER,GAIL,39,F,3962907398,11142 Craig Blvd.,RICHMOND,VA,23279,ULPRE50,Unlimited Prepaid,SD3SL1FF700463,
900000463,BRITT,ALTHEA,27,F,9415772884,3891 Barford Way,LEES SUMMIT,MO,64082,700POST5L70,700 Minute Family,SD3SL1FF700464,
900000464,HENDRICKS,CLEVELAND,62,M,5433806542,6282 McGinnis Dr.,HOUSTON,TX,77064,1400POST5L90,1400 Minute Family,SD3SL1FF700465,
900000465,LESTER,MARCELO,44,M,2786953893,16157 Havenpark St.,BALTIMORE,MD,21211,ULPRE50,Unlimited Prepaid,SD3SL1FF700466,
900000466,KELLER,HEATHER,46,F,2646060153,6429 Union Village Ave.,LUBBOCK,TX,79404,250PRE25,250 Minute Prepaid,SD3SL1FF700467,
900000467,JOYCE,CLARE,20,F,6848705449,5021 Copperflagg Ave.,FORT LAUDERDALE,FL,33303,700POST5L70,700 Minute Family,SD3SL1FF700468,
900000468,DAVID,LEON,32,M,3748384735,6772 Rondin Pkwy.,PEORIA,IL,61652,900POST60,900 Minute,SD3SL1FF700469,
900000469,MORRIS,MARYANNE,30,F,5692872922,60 Fairlamb Way,ROANOKE,VA,24037,700POST5L70,700 Minute Family,SD3SL1FF700470,
900000470,BENTLEY,LORAINE,36,F,5702698391,3376 Graziano St.,HOLLYWOOD,FL,33084,250PRE25,250 Minute Prepaid,SD3SL1FF700471,
900000471,SKINNER,LUCY,70,F,4738325474,4790 Bedale St.,HUNTSVILLE,AL,35809,700POST5L70,700 Minute Family,SD3SL1FF700472,
900000472,WHITE,KENNITH,41,M,5585684433,16168 Old Kings Ave.,SALT LAKE CITY,UT,84105,900POST60,900 Minute,SD3SL1FF700473,
900000473,BAIRD,GERARDO,31,M,4427529295,6668 Gracie Ave.,DURHAM,NC,27715,ULPOST70,Unlimited,SD3SL1FF700474,
900000474,MALDONADO,EUGENIA,60,F,4174342475,17378 Leonard Ln.,TULSA,OK,74156,900POST60,900 Minute,SD3SL1FF700475,
900000475,HENRY,TAMIKA,20,F,9998344381,11860 Tarragona Hwy.,ORLANDO,FL,32828,450POST40,450 Minute,SD3SL1FF700476,
900000476,HUBER,LOLA,57,F,6713868375,5015 Playford Dr.,BALTIMORE,MD,21217,900POST60,900 Minute,SD3SL1FF700477,
900000477,IRWIN,LUTHER,32,M,5768718217,18045 Bellatrix St.,WASHINGTON,DC,20228,ULPRE50,Unlimited Prepaid,SD3SL1FF700478,
900000478,BUCHANAN,WARREN,63,M,5952026794,13496 Little Horwood Ln.,CANTON,OH,44709,250PRE25,250 Minute Prepaid,SD3SL1FF700479,
900000479,BECK,DREW,49,M,6136143796,1169 Lometa Ln.,FLINT,MI,48532,700POST5L70,700 Minute Family,SD3SL1FF700480,
900000480,WARREN,REVA,59,F,4773514767,14167 Creekpaum St.,LOUISVILLE,KY,40203,450POST40,450 Minute,SD3SL1FF700481,
900000481,SANTIAGO,BLAIR,31,M,4348589063,9278 Colon Blvd.,KANSAS CITY,MO,64185,ULPRE50,Unlimited Prepaid,SD3SL1FF700482,
900000482,BISHOP,DOYLE,51,M,8657146527,16066 Reede St.,BISMARCK,ND,58503,1400POST5L90,1400 Minute Family,SD3SL1FF700483,
900000483,FRANCO,STEVEN,38,M,6186612243,13331 Breyley Pkwy.,GLENDALE,CA,91201,450POST40,450 Minute,SD3SL1FF700484,
900000484,COOK,ESPERANZA,51,F,2713623149,11773 Elizabeth Bay St.,ORLANDO,FL,32878,ULPRE50,Unlimited Prepaid,SD3SL1FF700485,
900000485,LONG,CONCEPCION,61,F,4212229192,5815 Dolesbury St.,EL PASO,TX,79937,ULPOST70,Unlimited,SD3SL1FF700486,
900000486,MCGUIRE,DONNIE,69,M,4744327276,11938 Boxboard St.,INGLEWOOD,CA,90304,250PRE25,250 Minute Prepaid,SD3SL1FF700487,
900000487,GILLESPIE,CELINA,66,F,7265224495,6700 Clearly Blvd.,OVERLAND PARK,KS,66224,ULPRE2D,Unlimited Prepaid,SD3SL1FF700488,
900000488,HAMILTON,SUSIE,49,F,3877836983,1664 Witham Pkwy.,SHREVEPORT,LA,71161,2100POST5L110,2100 Minute Family,SD3SL1FF700489,
900000489,SHERMAN,BRIDGETT,34,F,3844424369,5014 Northeast Mary Lou Ave.,RALEIGH,NC,27628,450POST40,450 Minute,SD3SL1FF700490,
900000490,BLANCHARD,RICKEY,70,M,4086420673,12905 Back Graveley Ln.,BOSTON,MA,2128,700POST5L70,700 Minute Family,SD3SL1FF700491,
900000491,MIDDLETON,CONCEPCION,18,F,2748728969,7639 Rancho del Lago Blvd.,WILKES BARRE,PA,18705,5503L60,550 Minute Family,SD3SL1FF700492,
900000492,GREGORY,WHITNEY,24,F,4595987139,4051 Sumner Perry Dr.,PORTLAND,OR,97236,2100POST5L110,2100 Minute Family,SD3SL1FF700493,
900000493,MANNING,CONSTANCE,48,F,8572823430,19931 Delrey Dr.,SOUTH BEND,IN,46634,900POST60,900 Minute,SD3SL1FF700494,
900000494,BLANKENSHIP,SANTOS,33,M,2443508174,8533 North Aspen Dr.,FULLERTON,CA,92832,1400POST5L90,1400 Minute Family,SD3SL1FF700495,
900000495,VINCENT,RAPHAEL,55,M,3169327470,12595 Taswell Pkwy.,NEW YORK,NY,10019,5503L60,550 Minute Family,SD3SL1FF700496,
900000496,CLEMENTS,MELINDA,57,F,9377015188,6163 Pryer Ave.,BAKERSFIELD,CA,93307,700POST5L70,700 Minute Family,SD3SL1FF700497,
900000497,KNOWLES,ROBT,28,M,4509999336,2086 Sierra Madre St.,TAMPA,FL,33616,ULPRE50,Unlimited Prepaid,SD3SL1FF700498,
900000498,HOOD,SUNG,31,M,7689796715,9622 Darville Pkwy.,WASHINGTON,DC,20038,2100POST5L110,2100 Minute Family,SD3SL1FF700499,
900000499,SPARKS,ELEANOR,24,F,3963822042,192 Green View Church St.,LANCASTER,PA,17607,700POST5L70,700 Minute Family,SD3SL1FF700500,
900000500,FIGUEROA,JEANETTE,50,F,4770126792,1922 Fountain Head Ave.,PASADENA,CA,91121,700POST5L70,700 Minute Family,SD3SL1FF700501,
900000501,AVERY,SOLOMON,36,M,9847719078,6523 Afshar Ln.,SPRING,TX,77391,ULPRE50,Unlimited Prepaid,SD3SL1FF700502,
900000502,OSBORNE,RANDAL,30,M,3945127066,2509 Lindero Ave.,HAMILTON,OH,45015,700POST5L70,700 Minute Family,SD3SL1FF700503,
900000503,PHILLIPS,RICARDO,57,M,6152578356,12989 Woodfield Estates Way,STOCKTON,CA,95204,1400POST5L90,1400 Minute Family,SD3SL1FF700504,
900000504,DAWSON,JANE,18,F,2933984217,5058 Bejay Ave.,RICHMOND,VA,23278,250PRE25,250 Minute Prepaid,SD3SL1FF700505,
900000505,MERRILL,LOTTIE,66,F,3899966332,12608 W Wiesbrook Ln.,FORT SMITH,AR,72901,700POST5L70,700 Minute Family,SD3SL1FF700506,
900000506,KELLY,WAYNE,20,M,5375524985,8580 Dake Dr.,LOUISVILLE,KY,40221,ULPRE2D,Unlimited Prepaid,SD3SL1FF700507,
900000507,PECK,CARLA,30,F,9567192817,1700 Wedeman Pkwy.,NEW HAVEN,CT,6534,ULPRE2D,Unlimited Prepaid,SD3SL1FF700508,
900000508,BARRON,RAYMOND,51,M,6822327316,6126 Fairlands Blvd.,FORT SMITH,AR,72914,ULPRE50,Unlimited Prepaid,SD3SL1FF700509,
900000509,BUCK,MARILYN,44,F,5102876190,16615 De Sellum St.,WEST PALM BEACH,FL,33411,1400POST5L90,1400 Minute Family,SD3SL1FF700510,
900000510,HEATH,BARTON,70,M,4044597800,11801 Eastwick Pkwy.,GAINESVILLE,FL,32653,1400POST5L90,1400 Minute Family,SD3SL1FF700511,
900000511,MARKS,DEWITT,46,M,2648645882,11861 Quarterfield Farms Ln.,GULFPORT,MS,39503,700POST5L70,700 Minute Family,SD3SL1FF700512,
900000512,BAILEY,SEYMOUR,44,M,8243268326,6441 Worts Hill Ave.,TUSCALOOSA,AL,35405,450POST40,450 Minute,SD3SL1FF700513,
900000513,STEIN,MARCIE,64,F,4894924666,11970 Grattan Pkwy.,LAS VEGAS,NV,89164,900POST60,900 Minute,SD3SL1FF700514,
900000514,FROST,LEANN,39,F,6505777885,15982 Buster Ave.,WILKES BARRE,PA,18764,450POST40,450 Minute,SD3SL1FF700515,
900000515,CALHOUN,CAROL,26,M,6632018963,5838 Nicks Rock St.,OVERLAND PARK,KS,66204,1400POST5L90,1400 Minute Family,SD3SL1FF700516,
900000516,BYRD,SAMANTHA,58,F,2686588898,5243 South Hickory Blvd.,CHULA VISTA,CA,91911,ULPRE50,Unlimited Prepaid,SD3SL1FF700517,
900000517,ONEAL,SANTOS,25,M,6113077574,4628 Sear Ranch Pkwy.,CLEVELAND,OH,44119,700POST5L70,700 Minute Family,SD3SL1FF700518,
900000518,DRAKE,DEBORAH,37,F,2421027317,3345 South Jefferson Blvd.,ATHENS,GA,30607,900POST60,900 Minute,SD3SL1FF700519,
900000519,RANDALL,LENA,18,F,7469929082,16575 Plamondon Dr.,RALEIGH,NC,27610,ULPRE50,Unlimited Prepaid,SD3SL1FF700520,
900000520,HURST,FOSTER,18,M,9579197039,3042 Lac Lavon Ave.,ATLANTA,GA,30342,ULPRE50,Unlimited Prepaid,SD3SL1FF700521,
900000521,STEPHENSON,RUSSEL,48,M,8143767373,4111 Amazon St.,CHICAGO,IL,60669,900POST60,900 Minute,SD3SL1FF700522,
900000522,CHAN,DARLA,41,F,9342854098,9117 Bois Moor Blvd.,TULSA,OK,74135,ULPRE50,Unlimited Prepaid,SD3SL1FF700523,
900000523,HOLT,JUNIOR,42,M,8338868908,6992 Jaconnet Blvd.,FORT WORTH,TX,76147,2100POST5L110,2100 Minute Family,SD3SL1FF700524,
900000524,CARLSON,DARLA,58,F,3192486844,602 Raymound Dr.,WORCESTER,MA,1607,700POST5L70,700 Minute Family,SD3SL1FF700525,
900000525,HOLMES,NETTIE,20,F,4818255828,7615 Northeast Bird Pkwy.,CEDAR RAPIDS,IA,52405,700POST5L70,700 Minute Family,SD3SL1FF700526,
900000526,JOSEPH,ROSALIND,68,F,2546968062,14206 Waterberry Pkwy.,LANSING,MI,48913,ULPOST5L120,2100 Minute Family,SD3SL1FF700527,
900000527,FINCH,JERROLD,35,M,6456724264,9022 Wildhouse St.,DAYTONA BEACH,FL,32119,ULPRE2D,Unlimited Prepaid,SD3SL1FF700528,
900000528,BARNES,RODERICK,21,M,2234865355,12726 Merian St.,ROCHESTER,NY,14606,700POST5L70,700 Minute Family,SD3SL1FF700529,
900000529,MCINTOSH,MARYELLEN,18,F,2206092170,13552 Sandcliff St.,SAN FRANCISCO,CA,94121,5503L60,550 Minute Family,SD3SL1FF700530,
900000530,STRONG,CINDY,33,F,2984097570,520 Mount Wachusett Dr.,ALBANY,NY,12256,5503L60,550 Minute Family,SD3SL1FF700531,
900000531,VAZQUEZ,WENDY,18,F,8935194434,6746 W Schorsch Ln.,OLYMPIA,WA,98516,700POST5L70,700 Minute Family,SD3SL1FF700532,
900000532,FULTON,ROBT,18,M,7557577843,9221 Waibel St.,SAN FRANCISCO,CA,94123,700POST5L70,700 Minute Family,SD3SL1FF700533,
900000533,CHAN,MAUREEN,19,F,3197579943,18054 South Harris St.,COLORADO SPRINGS,CO,80909,ULPRE50,Unlimited Prepaid,SD3SL1FF700534,
900000534,JIMENEZ,JAIME,66,F,9176602652,8046 Acerra Hwy.,ATHENS,GA,30609,2100POST5L110,2100 Minute Family,SD3SL1FF700535,
900000535,MAYNARD,WINSTON,53,M,4654491913,17588 Southwest Raymond Ln.,EL PASO,TX,79932,ULPOST70,Unlimited,SD3SL1FF700536,
900000536,MIDDLETON,TRACIE,46,F,6179712276,9821 Jorgensen Dr.,MANCHESTER,NH,3111,900POST60,900 Minute,SD3SL1FF700537,
900000537,MCDANIEL,JAIME,42,F,7097415603,14131 Phineas Pett St.,BATTLE CREEK,MI,49015,700POST5L70,700 Minute Family,SD3SL1FF700538,
900000538,FITZPATRICK,ROSALIE,32,F,5553560813,8728 Karlson Ave.,GREENSBORO,NC,27416,250PRE25,250 Minute Prepaid,SD3SL1FF700539,
900000539,ROBBINS,SUSAN,25,F,4305686333,19308 Rowena St.,BRONX,NY,10471,ULPRE2D,Unlimited Prepaid,SD3SL1FF700540,
900000540,BISHOP,TRACY,28,F,9689899957,3503 Koola Way,NEWARK,DE,19716,700POST5L70,700 Minute Family,SD3SL1FF700541,
900000541,LAWRENCE,DEBORAH,50,F,8737323845,15955 Bogastow Book St.,MILWAUKEE,WI,53225,450POST40,450 Minute,SD3SL1FF700542,
900000542,DUNLAP,RAY,66,M,8467658651,16566 Orinda Vista St.,MEMPHIS,TN,38137,5503L60,550 Minute Family,SD3SL1FF700543,
900000543,TATE,CARLTON,24,M,7562196545,2781 Millrich Blvd.,SPOKANE,WA,99206,700POST5L70,700 Minute Family,SD3SL1FF700544,
900000544,PERRY,ERMA,52,F,8018987953,10227 New Mount Ave.,FARGO,ND,58104,1400POST5L90,1400 Minute Family,SD3SL1FF700545,
900000545,SARGENT,DEANDRE,28,M,7006913010,14998 Interventions St.,ROCHESTER,NY,14615,450POST40,450 Minute,SD3SL1FF700546,
900000546,NIEVES,NADINE,70,F,2058577507,7647 Welham Blvd.,NEW YORK,NY,10019,ULPRE50,Unlimited Prepaid,SD3SL1FF700547,
900000547,SANCHEZ,SHEILA,67,F,4888463551,9004 E Chippendale Pkwy.,SCOTTSDALE,AZ,85255,700POST5L70,700 Minute Family,SD3SL1FF700548,
900000548,JUAREZ,GLENN,40,M,2598743010,466 Mayne St.,ROCKFORD,IL,61101,250PRE25,250 Minute Prepaid,SD3SL1FF700549,
900000549,NEAL,ALBA,19,F,4083816462,7778 Thornsbeach Hwy.,HONOLULU,HI,96847,250PRE25,250 Minute Prepaid,SD3SL1FF700550,
900000550,STEWART,EILEEN,61,F,6475314277,14125 S Ardmore Ave.,CHARLOTTE,NC,28220,5503L60,550 Minute Family,SD3SL1FF700551,
900000551,MASON,HOUSTON,55,M,4174462574,14479 Northeast Mary Lou Ln.,TUCSON,AZ,85701,900POST60,900 Minute,SD3SL1FF700552,
900000552,SHAW,RAFAEL,26,M,7775451793,4048 Fair Blvd.,ALLENTOWN,PA,18195,700POST5L70,700 Minute Family,SD3SL1FF700553,
900000553,BASS,DIANNA,65,F,7577113930,2230 N Lorcom St.,PHOENIX,AZ,85036,ULPOST70,Unlimited,SD3SL1FF700554,
900000554,WALLS,BECKY,63,F,9384042633,12036 Shadowrock Dr.,YONKERS,NY,10701,700POST5L70,700 Minute Family,SD3SL1FF700555,
900000555,WEBB,ROCKY,50,M,5217183430,11308 Rosa Parks Way,LOUISVILLE,KY,40214,5503L60,550 Minute Family,SD3SL1FF700556,
900000556,AVERY,DOMINIQUE,64,M,3748465252,7416 Sessions St.,ALBANY,NY,12210,250PRE25,250 Minute Prepaid,SD3SL1FF700557,
900000557,SUTTON,CHRIS,69,F,4769228791,3625 Culsac Pkwy.,SCOTTSDALE,AZ,85256,250PRE25,250 Minute Prepaid,SD3SL1FF700558,
900000558,ANDERSON,BRYON,67,M,7496855841,4362 Puller St.,NEW ORLEANS,LA,70153,700POST5L70,700 Minute Family,SD3SL1FF700559,
900000559,BARRERA,ALBERT,54,M,2466086746,12749 Heapworth Dr.,HOUSTON,TX,77254,2100POST5L110,2100 Minute Family,SD3SL1FF700560,
900000560,SOLOMON,LUPE,32,M,5417426485,19889 Valleyscent Ave.,KANSAS CITY,MO,64170,250PRE25,250 Minute Prepaid,SD3SL1FF700561,
900000561,SHAW,YOLANDA,24,F,5235695004,10086 Waiku St.,GREEN BAY,WI,54301,1400POST5L90,1400 Minute Family,SD3SL1FF700562,
900000562,CHANDLER,JUSTINE,59,F,6089094774,8328 Ruskindale Ave.,WASHINGTON,DC,20254,2100POST5L110,2100 Minute Family,SD3SL1FF700563,
900000563,FOX,ALICE,57,F,3368005681,19850 Baths Dr.,SEATTLE,WA,98112,450POST40,450 Minute,SD3SL1FF700564,
900000564,MUELLER,KIRK,49,M,9346348386,9777 Los Medanos Ave.,MARIETTA,GA,30007,5503L60,550 Minute Family,SD3SL1FF700565,
900000565,REEVES,OSCAR,51,M,4061729476,10635 Fromandez Hwy.,COLUMBIA,SC,29209,900POST60,900 Minute,SD3SL1FF700566,
900000566,FINLEY,CHRISTINA,36,F,2307826167,5757 Hobie Pkwy.,DALLAS,TX,75378,1400POST5L90,1400 Minute Family,SD3SL1FF700567,
900000567,BROCK,CARLO,69,M,9882983808,4158 Brownspring Ave.,MURFREESBORO,TN,37133,2100POST5L110,2100 Minute Family,SD3SL1FF700568,
900000568,COLLINS,IMOGENE,59,F,5496599013,3642 Butler School Dr.,MINNEAPOLIS,MN,55407,ULPRE50,Unlimited Prepaid,SD3SL1FF700569,
900000569,EMERSON,JOEL,51,M,8599856632,13670 Clemson Ave.,CINCINNATI,OH,45258,ULPRE50,Unlimited Prepaid,SD3SL1FF700570,
900000570,SNYDER,REGINA,35,F,7349828155,6950 Barleycorn St.,CHARLESTON,WV,25321,450POST40,450 Minute,SD3SL1FF700571,
900000571,SCHULTZ,KIMBERLY,58,F,2575738903,18492 Apprentice Blvd.,BOULDER,CO,80305,450POST40,450 Minute,SD3SL1FF700572,
900000572,BASS,BEATRIZ,34,F,8816999306,8094 Holiday Hills Ln.,CHARLESTON,WV,25387,1400POST5L90,1400 Minute Family,SD3SL1FF700573,
900000573,FISHER,RUTH,68,F,4063589651,8466 Little Chapel Dr.,RALEIGH,NC,27610,450POST40,450 Minute,SD3SL1FF700574,
900000574,ROBERTSON,DARWIN,62,M,8983185576,12366 Lyford Dr.,LOS ANGELES,CA,90079,250PRE25,250 Minute Prepaid,SD3SL1FF700575,
900000575,LOWERY,ELLIOTT,28,M,5916048530,9319 Rose Haven Dr.,CHARLOTTE,NC,28289,ULPRE2D,Unlimited Prepaid,SD3SL1FF700576,
900000576,WILLIAMSON,MAURICE,29,M,3438576531,11094 Hyde Ave.,BROOKLYN,NY,11221,700POST5L70,700 Minute Family,SD3SL1FF700577,
900000577,VASQUEZ,VITO,32,M,9865029760,9848 Augurs Ln.,ROCHESTER,NY,14621,900POST60,900 Minute,SD3SL1FF700578,
900000578,SALINAS,HEATHER,40,F,3854042024,9748 Bottlebrush Dr.,MONTICELLO,MN,55565,250PRE25,250 Minute Prepaid,SD3SL1FF700579,
900000579,SIMPSON,CARY,44,M,2438878949,15646 Hardinge Pkwy.,FRESNO,CA,93726,ULPRE50,Unlimited Prepaid,SD3SL1FF700580,
900000580,HARRELL,CALEB,40,M,4607202450,14545 Farmhaven Dr.,WINSTON SALEM,NC,27152,900POST60,900 Minute,SD3SL1FF700581,
900000581,MORALES,ANTONY,50,M,3953298963,1276 Morello Park Pkwy.,CHICAGO,IL,60674,700POST5L70,700 Minute Family,SD3SL1FF700582,
900000582,SCHNEIDER,ROSEMARIE,18,F,7182942210,9879 Thomas Ln.,MILWAUKEE,WI,53293,5503L60,550 Minute Family,SD3SL1FF700583,
900000583,BOYD,BERT,52,M,9313468617,11224 Lavoie Ln.,DALLAS,TX,75364,700POST5L70,700 Minute Family,SD3SL1FF700584,
900000584,LOVE,SASHA,58,F,5536417715,12749 Cincinnatus Ln.,SAINT PAUL,MN,55144,ULPRE50,Unlimited Prepaid,SD3SL1FF700585,
900000585,ROACH,JOSIE,35,F,9172348133,2900 Adie Dr.,EL PASO,TX,88560,700POST5L70,700 Minute Family,SD3SL1FF700586,
900000586,HAMPTON,MARILYN,53,F,9559155860,13895 East Arbor Dr.,WINSTON SALEM,NC,27157,700POST5L70,700 Minute Family,SD3SL1FF700587,
900000587,MADDEN,BRADY,50,M,5183697207,1745 Marinus Pkwy.,NEW HYDE PARK,NY,11040,450POST40,450 Minute,SD3SL1FF700588,
900000588,FIGUEROA,SILVIA,51,F,9337572502,8167 Summit A Dr.,PHILADELPHIA,PA,19118,1400POST5L90,1400 Minute Family,SD3SL1FF700589,
900000589,WARD,CHAD,46,M,7298057963,14092 Fairlawn Dr.,TACOMA,WA,98490,ULPRE50,Unlimited Prepaid,SD3SL1FF700590,
900000590,NOEL,LLOYD,48,M,6692982752,19583 Marsdon Dr.,INDIANAPOLIS,IN,46262,700POST5L70,700 Minute Family,SD3SL1FF700591,
900000591,LOWERY,LORRAINE,65,F,4149254811,8583 W Campus Dr.,LAWRENCEVILLE,GA,30049,250PRE25,250 Minute Prepaid,SD3SL1FF700592,
900000592,HENDRIX,CRISTINA,29,F,8076182109,555 Stoke Ave.,TEXARKANA,TX,75504,ULPRE50,Unlimited Prepaid,SD3SL1FF700593,
900000593,FOLEY,STACY,34,M,7917492630,8213 Lowood Pkwy.,LAFAYETTE,IN,47903,700POST5L70,700 Minute Family,SD3SL1FF700594,
900000594,CARLSON,RUDY,24,M,7363822215,6769 Waters Park Ln.,COLUMBUS,OH,43229,5503L60,550 Minute Family,SD3SL1FF700595,
900000595,CHAMBERS,DEBBIE,67,F,6155393747,9269 W Shirley St.,ATLANTA,GA,30327,900POST60,900 Minute,SD3SL1FF700596,
900000596,RICHARD,FLOSSIE,36,F,9873805731,5455 Harriet Dr.,EL PASO,TX,79996,900POST60,900 Minute,SD3SL1FF700597,
900000597,HERMAN,ALICE,46,F,4953324898,10036 N Loop Pkwy.,SAN ANTONIO,TX,78297,ULPRE50,Unlimited Prepaid,SD3SL1FF700598,
900000598,GONZALEZ,DIRK,38,M,9175526055,9604 Boorroo Dr.,SEATTLE,WA,98175,250PRE25,250 Minute Prepaid,SD3SL1FF700599,
900000599,BARTON,MITCHELL,66,M,7012367271,18032 San Juan Grade Blvd.,BOYNTON BEACH,FL,33426,700POST5L70,700 Minute Family,SD3SL1FF700600,
900000600,PADILLA,MERRILL,61,M,8809754054,9762 Charlene St.,NEW CASTLE,PA,16102,ULPRE50,Unlimited Prepaid,SD3SL1FF700601,
900000601,BARRON,SAMMY,61,M,7738529171,13706 Callistan Way,DALLAS,TX,75343,450POST40,450 Minute,SD3SL1FF700602,
900000602,RICHARD,JOAN,31,M,9438325516,2797 Bennetta Ln.,HOUSTON,TX,77041,2100POST5L110,2100 Minute Family,SD3SL1FF700603,
900000603,WEEKS,LYDIA,46,F,3255998504,10537 West Montara Ln.,WICHITA,KS,67219,ULPOST70,Unlimited,SD3SL1FF700604,
900000604,SHANNON,FLOYD,57,M,3116293643,16357 Guildhall St.,ENGLEWOOD,CO,80150,250PRE25,250 Minute Prepaid,SD3SL1FF700605,
900000605,BOYD,BRANDIE,24,F,2037059767,19244 Hylton Way,WASHINGTON,DC,20402,700POST5L70,700 Minute Family,SD3SL1FF700606,
900000606,THOMPSON,STAN,47,M,6746609845,7119 Nirvana St.,CHICAGO,IL,60649,700POST5L70,700 Minute Family,SD3SL1FF700607,
900000607,FLOYD,SADIE,25,F,7338819450,9095 E Indian Spring Hwy.,INDEPENDENCE,MO,64052,5503L60,550 Minute Family,SD3SL1FF700608,
900000608,BOOKER,ABBY,39,F,6056060513,14922 Shago Dr.,CHARLOTTE,NC,28255,450POST40,450 Minute,SD3SL1FF700609,
900000609,DODSON,ABEL,23,M,9396917376,3660 Purple Beech Dr.,DAYTON,OH,45458,ULPOST70,Unlimited,SD3SL1FF700610,
900000610,COOKE,HAZEL,20,F,5389953072,3411 Pacheco Ridge St.,SALEM,OR,97301,ULPRE50,Unlimited Prepaid,SD3SL1FF700611,
900000611,HAMILTON,ANIBAL,55,M,6309902486,2948 Abbotts Park Blvd.,ORLANDO,FL,32855,1400POST5L90,1400 Minute Family,SD3SL1FF700612,
900000612,STEVENS,CARMELA,57,F,5452873613,329 N Hubbard Pkwy.,PITTSBURGH,PA,15267,450POST40,450 Minute,SD3SL1FF700613,
900000613,NAVARRO,ALEXIS,20,M,6454759322,17514 Green Park St.,PALATINE,IL,60095,ULPRE50,Unlimited Prepaid,SD3SL1FF700614,
900000614,WITT,COLEMAN,35,M,8144704472,4133 Minnamorra St.,FORT LAUDERDALE,FL,33322,450POST40,450 Minute,SD3SL1FF700615,
900000615,ALVARADO,NELDA,24,F,2355722885,14678 Old Fold St.,CHARLOTTESVILLE,VA,22907,ULPRE50,Unlimited Prepaid,SD3SL1FF700616,
900000616,TRAVIS,BOB,70,M,8736443086,19860 South Old Annapolis Ave.,WILMINGTON,DE,19809,700POST5L70,700 Minute Family,SD3SL1FF700617,
900000617,WALLACE,GARLAND,50,M,5393902130,12343 Ertman Ln.,TORRANCE,CA,90502,700POST5L70,700 Minute Family,SD3SL1FF700618,
900000618,BEARD,LUCIA,20,F,6312963980,16036 Dawnridge Dr.,RALEIGH,NC,27675,ULPRE50,Unlimited Prepaid,SD3SL1FF700619,
900000619,MURRAY,RICKY,18,M,5902849995,8123 Henshall Ave.,DES MOINES,IA,50314,1400POST5L90,1400 Minute Family,SD3SL1FF700620,
900000620,KOCH,BRENDAN,63,M,8623228027,16318 Thorne Pkwy.,RIVERSIDE,CA,92506,ULPRE2D,Unlimited Prepaid,SD3SL1FF700621,
900000621,BAXTER,GRETCHEN,66,F,5279148684,13715 Conyerd Dr.,JACKSON,MS,39211,ULPRE50,Unlimited Prepaid,SD3SL1FF700622,
900000622,CONWAY,NICOLAS,45,M,3178193967,15986 Indian Hills Pkwy.,NEWPORT NEWS,VA,23605,ULPOST5L120,2100 Minute Family,SD3SL1FF700623,
900000623,GRAY,SIMONE,21,F,5672828920,15519 East Jefferson Way,WICHITA,KS,67219,700POST5L70,700 Minute Family,SD3SL1FF700624,
900000624,DUDLEY,BLAKE,32,M,3762748667,12587 Sarah Doublet St.,AURORA,CO,80011,250PRE25,250 Minute Prepaid,SD3SL1FF700625,
900000625,LITTLE,TRUMAN,19,M,4476664504,19662 Caringal Pkwy.,GREENSBORO,NC,27408,ULPRE50,Unlimited Prepaid,SD3SL1FF700626,
900000626,PIERCE,JERROD,57,M,5656076930,16103 Valdez Dr.,HENDERSON,NV,89074,ULPRE50,Unlimited Prepaid,SD3SL1FF700627,
900000627,BECK,JANELLE,61,F,2274542385,2411 Benaroon Dr.,CINCINNATI,OH,45296,ULPOST5L120,2100 Minute Family,SD3SL1FF700628,
900000628,ROBBINS,RAY,32,M,5789725472,366 Virginia Hill Dr.,HARTFORD,CT,6104,450POST40,450 Minute,SD3SL1FF700629,
900000629,LAWSON,TAMMY,20,F,5075755585,12470 Okla Ln.,BUFFALO,NY,14261,ULPRE2D,Unlimited Prepaid,SD3SL1FF700630,
900000630,BRADLEY,MARION,53,F,3807585210,18338 W Half Day Ave.,PHOENIX,AZ,85062,ULPRE50,Unlimited Prepaid,SD3SL1FF700631,
900000631,MILLS,ARIEL,50,M,6682892545,8435 Kettlewell Ln.,SPOKANE,WA,99218,1400POST5L90,1400 Minute Family,SD3SL1FF700632,
900000632,MOONEY,GAYLE,66,F,4665803736,18473 Steinmaier St.,ANAHEIM,CA,92807,ULPOST5L120,2100 Minute Family,SD3SL1FF700633,
900000633,FITZPATRICK,RYAN,24,M,6802906571,1789 Urana Ln.,ROANOKE,VA,24009,250PRE25,250 Minute Prepaid,SD3SL1FF700634,
